"observationDay","team","county","practiceFacilityCounty","stadiumCounty","positives","population"
2020-03-28,"ARI","Gila",FALSE,FALSE,1,54018
2020-03-29,"ARI","Gila",FALSE,FALSE,0,54018
2020-03-30,"ARI","Gila",FALSE,FALSE,0,54018
2020-03-31,"ARI","Gila",FALSE,FALSE,0,54018
2020-04-01,"ARI","Gila",FALSE,FALSE,0,54018
2020-04-02,"ARI","Gila",FALSE,FALSE,1,54018
2020-04-03,"ARI","Gila",FALSE,FALSE,0,54018
2020-04-04,"ARI","Gila",FALSE,FALSE,1,54018
2020-04-05,"ARI","Gila",FALSE,FALSE,0,54018
2020-04-06,"ARI","Gila",FALSE,FALSE,0,54018
2020-04-07,"ARI","Gila",FALSE,FALSE,0,54018
2020-04-08,"ARI","Gila",FALSE,FALSE,0,54018
2020-04-09,"ARI","Gila",FALSE,FALSE,0,54018
2020-04-10,"ARI","Gila",FALSE,FALSE,0,54018
2020-04-11,"ARI","Gila",FALSE,FALSE,0,54018
2020-04-12,"ARI","Gila",FALSE,FALSE,0,54018
2020-04-13,"ARI","Gila",FALSE,FALSE,0,54018
2020-04-14,"ARI","Gila",FALSE,FALSE,0,54018
2020-04-15,"ARI","Gila",FALSE,FALSE,0,54018
2020-04-16,"ARI","Gila",FALSE,FALSE,2,54018
2020-04-17,"ARI","Gila",FALSE,FALSE,0,54018
2020-04-18,"ARI","Gila",FALSE,FALSE,2,54018
2020-04-19,"ARI","Gila",FALSE,FALSE,0,54018
2020-04-20,"ARI","Gila",FALSE,FALSE,1,54018
2020-04-21,"ARI","Gila",FALSE,FALSE,1,54018
2020-04-22,"ARI","Gila",FALSE,FALSE,1,54018
2020-04-23,"ARI","Gila",FALSE,FALSE,2,54018
2020-04-24,"ARI","Gila",FALSE,FALSE,0,54018
2020-04-25,"ARI","Gila",FALSE,FALSE,0,54018
2020-04-26,"ARI","Gila",FALSE,FALSE,0,54018
2020-04-27,"ARI","Gila",FALSE,FALSE,0,54018
2020-04-28,"ARI","Gila",FALSE,FALSE,0,54018
2020-04-29,"ARI","Gila",FALSE,FALSE,1,54018
2020-04-30,"ARI","Gila",FALSE,FALSE,1,54018
2020-05-01,"ARI","Gila",FALSE,FALSE,0,54018
2020-05-02,"ARI","Gila",FALSE,FALSE,1,54018
2020-05-03,"ARI","Gila",FALSE,FALSE,0,54018
2020-05-04,"ARI","Gila",FALSE,FALSE,0,54018
2020-05-05,"ARI","Gila",FALSE,FALSE,0,54018
2020-05-06,"ARI","Gila",FALSE,FALSE,1,54018
2020-05-07,"ARI","Gila",FALSE,FALSE,2,54018
2020-05-08,"ARI","Gila",FALSE,FALSE,2,54018
2020-05-09,"ARI","Gila",FALSE,FALSE,0,54018
2020-05-10,"ARI","Gila",FALSE,FALSE,0,54018
2020-05-11,"ARI","Gila",FALSE,FALSE,0,54018
2020-05-12,"ARI","Gila",FALSE,FALSE,0,54018
2020-05-13,"ARI","Gila",FALSE,FALSE,0,54018
2020-05-14,"ARI","Gila",FALSE,FALSE,2,54018
2020-05-15,"ARI","Gila",FALSE,FALSE,1,54018
2020-05-16,"ARI","Gila",FALSE,FALSE,0,54018
2020-05-17,"ARI","Gila",FALSE,FALSE,0,54018
2020-05-18,"ARI","Gila",FALSE,FALSE,0,54018
2020-05-19,"ARI","Gila",FALSE,FALSE,0,54018
2020-05-20,"ARI","Gila",FALSE,FALSE,0,54018
2020-05-21,"ARI","Gila",FALSE,FALSE,0,54018
2020-05-22,"ARI","Gila",FALSE,FALSE,2,54018
2020-05-23,"ARI","Gila",FALSE,FALSE,0,54018
2020-05-24,"ARI","Gila",FALSE,FALSE,0,54018
2020-05-25,"ARI","Gila",FALSE,FALSE,0,54018
2020-05-26,"ARI","Gila",FALSE,FALSE,0,54018
2020-05-27,"ARI","Gila",FALSE,FALSE,1,54018
2020-05-28,"ARI","Gila",FALSE,FALSE,0,54018
2020-05-29,"ARI","Gila",FALSE,FALSE,3,54018
2020-05-30,"ARI","Gila",FALSE,FALSE,2,54018
2020-05-31,"ARI","Gila",FALSE,FALSE,1,54018
2020-06-01,"ARI","Gila",FALSE,FALSE,0,54018
2020-06-02,"ARI","Gila",FALSE,FALSE,4,54018
2020-06-03,"ARI","Gila",FALSE,FALSE,2,54018
2020-06-04,"ARI","Gila",FALSE,FALSE,2,54018
2020-06-05,"ARI","Gila",FALSE,FALSE,3,54018
2020-06-06,"ARI","Gila",FALSE,FALSE,1,54018
2020-06-07,"ARI","Gila",FALSE,FALSE,2,54018
2020-06-08,"ARI","Gila",FALSE,FALSE,1,54018
2020-06-09,"ARI","Gila",FALSE,FALSE,1,54018
2020-06-10,"ARI","Gila",FALSE,FALSE,1,54018
2020-06-11,"ARI","Gila",FALSE,FALSE,1,54018
2020-06-12,"ARI","Gila",FALSE,FALSE,5,54018
2020-06-13,"ARI","Gila",FALSE,FALSE,5,54018
2020-06-14,"ARI","Gila",FALSE,FALSE,11,54018
2020-06-15,"ARI","Gila",FALSE,FALSE,17,54018
2020-06-16,"ARI","Gila",FALSE,FALSE,4,54018
2020-06-17,"ARI","Gila",FALSE,FALSE,8,54018
2020-06-18,"ARI","Gila",FALSE,FALSE,16,54018
2020-06-19,"ARI","Gila",FALSE,FALSE,10,54018
2020-06-20,"ARI","Gila",FALSE,FALSE,18,54018
