"observationDay","team","testedToday"
"2020-08-01","ARI",TRUE
"2020-08-02","ARI",TRUE
"2020-08-03","ARI",TRUE
"2020-08-04","ARI",TRUE
"2020-08-05","ARI",TRUE
"2020-08-06","ARI",TRUE
"2020-08-07","ARI",TRUE
"2020-08-08","ARI",TRUE
"2020-08-09","ARI",TRUE
"2020-08-10","ARI",TRUE
"2020-08-11","ARI",TRUE
"2020-08-12","ARI",TRUE
"2020-08-13","ARI",TRUE
"2020-08-14","ARI",TRUE
"2020-08-15","ARI",TRUE
"2020-08-16","ARI",TRUE
"2020-08-17","ARI",TRUE
"2020-08-18","ARI",TRUE
"2020-08-19","ARI",TRUE
"2020-08-20","ARI",TRUE
"2020-08-21","ARI",TRUE
"2020-08-22","ARI",TRUE
"2020-08-23","ARI",TRUE
"2020-08-24","ARI",TRUE
"2020-08-25","ARI",TRUE
"2020-08-26","ARI",TRUE
"2020-08-27","ARI",TRUE
"2020-08-28","ARI",TRUE
"2020-08-29","ARI",TRUE
"2020-08-30","ARI",TRUE
"2020-08-31","ARI",TRUE
"2020-09-01","ARI",TRUE
"2020-09-02","ARI",TRUE
"2020-09-03","ARI",TRUE
"2020-09-04","ARI",TRUE
"2020-09-05","ARI",TRUE
"2020-09-06","ARI",TRUE
"2020-09-07","ARI",TRUE
"2020-09-08","ARI",TRUE
"2020-09-09","ARI",TRUE
"2020-09-10","ARI",TRUE
"2020-09-11","ARI",TRUE
"2020-09-12","ARI",TRUE
"2020-09-13","ARI",FALSE
"2020-09-14","ARI",TRUE
"2020-09-15","ARI",TRUE
"2020-09-16","ARI",TRUE
"2020-09-17","ARI",TRUE
"2020-09-18","ARI",TRUE
"2020-09-19","ARI",TRUE
"2020-09-20","ARI",FALSE
"2020-09-21","ARI",TRUE
"2020-09-22","ARI",TRUE
"2020-09-23","ARI",TRUE
"2020-09-24","ARI",TRUE
"2020-09-25","ARI",TRUE
"2020-09-26","ARI",TRUE
"2020-09-27","ARI",FALSE
"2020-09-28","ARI",TRUE
"2020-09-29","ARI",TRUE
"2020-09-30","ARI",TRUE
"2020-10-01","ARI",TRUE
"2020-10-02","ARI",TRUE
"2020-10-03","ARI",TRUE
"2020-10-04","ARI",FALSE
"2020-10-05","ARI",TRUE
"2020-10-06","ARI",TRUE
"2020-10-07","ARI",TRUE
"2020-10-08","ARI",TRUE
"2020-10-09","ARI",TRUE
"2020-10-10","ARI",TRUE
"2020-10-11","ARI",FALSE
"2020-10-12","ARI",TRUE
"2020-10-13","ARI",TRUE
"2020-10-14","ARI",TRUE
"2020-10-15","ARI",TRUE
"2020-10-16","ARI",TRUE
"2020-10-17","ARI",TRUE
"2020-10-18","ARI",TRUE
"2020-10-19","ARI",TRUE
"2020-10-20","ARI",TRUE
"2020-10-21","ARI",TRUE
"2020-10-22","ARI",TRUE
"2020-10-23","ARI",TRUE
"2020-10-24","ARI",TRUE
"2020-10-25","ARI",TRUE
"2020-10-26","ARI",TRUE
"2020-10-27","ARI",TRUE
"2020-10-28","ARI",TRUE
"2020-10-29","ARI",TRUE
"2020-10-30","ARI",TRUE
"2020-10-31","ARI",TRUE
"2020-11-01","ARI",TRUE
"2020-11-02","ARI",TRUE
